osm_id	lat	lon	strasse	PLZ_Ort	Lage
16144119	49.13907009999999786	9.19271349999999998	Leonhardstraße 15	 74080 Heilbronn	E
16241167	49.1383915999999985	9.18024340000000016	Längelterstraße 106	 74080 Heilbronn	M
16242226	49.13925799999999811	9.17941869999999938	Leibnizstraße 18	 74080 Heilbronn	E
18375060	49.13722150000000255	9.1934509000000002	Bachstraße 3	 74080 Heilbronn	M
18376547	49.13707680000000266	9.19374260000000021	Friedrichstraße 80	 74080 Heilbronn	G
18376916	49.13682909999999993	9.1930303999999996	Friedrichstraße 18	 74080 Heilbronn	M
18451587	49.13699859999999831	9.19407509999999917	Friedrichstraße 82	 74080 Heilbronn	G
18451588	49.13724539999999763	9.19416179999999983	Friedrichstraße 86	 74080 Heilbronn	G
18451678	49.1372359000000003	9.19377910000000043	Bachstraße 1	 74080 Heilbronn	M
18452059	49.1367598000000001	9.19373590000000007	Friedenstraße 78	 74080 Heilbronn	M
18452061	49.13670739999999881	9.19416840000000057	Friedrichstraße 4	 74080 Heilbronn	M
18452062	49.13675279999999645	9.19443710000000003	Friedrichstraße 2	 74080 Heilbronn	M
18452260	49.13686560000000014	9.19269189999999981	Ludwigsburger Straße 26/1	 74080 Heilbronn	E
18452813	49.13666229999999757	9.19279839999999915	Friedrichstraße 21	 74080 Heilbronn	M
18452814	49.13661230000000302	9.19329379999999929	Friedrichstraße 17	 74080 Heilbronn	M
18452816	49.13639309999999938	9.19221570000000021	Klingenberger Straße 31	 74080 Heilbronn	E
18456933	49.13669900000000013	9.19242670000000039	Klingenberger Straße 27	 74080 Heilbronn	E
18456937	49.1362907999999976	9.19307899999999911	Augustenstraße 2	 74080 Heilbronn	M
18457022	49.13671389999999661	9.19228309999999915	Klingenberger Straße 27	 74080 Heilbronn	E
18457386	49.13653060000000039	9.19224750000000057	Klingenberger Straße 29	 74080 Heilbronn	E
18518415	49.1372706000000008	9.19304419999999922	Bachstraße 5	 74080 Heilbronn	M
22778768	49.13641460000000194	9.19249690000000008	Klingenberger Straße 31	 74080 Heilbronn	E
23584412	49.12384759999999773	9.22022620000000082	John-F.-Kennedy-Straße 15	 74074 Heilbronn	M
23919428	49.13776219999999739	9.19225529999999935	Teichstraße 23/1	 74080 Heilbronn	M
23919429	49.13757090000000005	9.19218640000000065	Bachstraße 18	 74080 Heilbronn	M
23919430	49.13799670000000219	9.19231569999999998	Teichstraße 23/1	 74080 Heilbronn	M
23919519	49.13771690000000092	9.19347469999999944	Teichstraße 3	 74080 Heilbronn	M
23919628	49.13787980000000033	9.19336460000000066	Teichstraße 3	 74080 Heilbronn	M
23944009	49.13726789999999767	9.19272239999999918	Bachstraße 11	 74080 Heilbronn	M
23944010	49.13721069999999713	9.1923919999999999	Klingenberger Straße 21	 74080 Heilbronn	E
23944309	49.1367787000000007	9.19261400000000073	Friedrichstraße 24	 74080 Heilbronn	M
23944312	49.1368105999999969	9.19229920000000078	Friedrichstraße 26	 74080 Heilbronn	M
23944313	49.13719110000000256	9.19238690000000069	Klingenberger Straße 21	 74080 Heilbronn	E
23944314	49.13699849999999714	9.19235270000000071	Klingenberger Straße 25	 74080 Heilbronn	E
23944317	49.13716380000000328	9.19260910000000031	Klingenberger Straße 21/1	 74080 Heilbronn	E
23944319	49.1370555999999965	9.1925100000000004	Klingenberger Straße 23	 74080 Heilbronn	E
24048863	49.1270813000000004	9.18485010000000024	Jäkleinstraße 33	 74080 Heilbronn	G
24048876	49.12703989999999976	9.18468350000000022	Jäkleinstraße 35	 74080 Heilbronn	G
24048929	49.12753119999999996	9.18563939999999945	Ulrich-Fischer-Weg 2	 74080 Heilbronn	G
24048958	49.12714880000000051	9.18513429999999964	Jäkleinstraße 31	 74080 Heilbronn	G
24048959	49.12721410000000333	9.18545630000000024	Jäkleinstraße 29	 74080 Heilbronn	G
24048960	49.12725389999999948	9.18563950000000062	Jäkleinstraße 27	 74080 Heilbronn	G
24049145	49.12782860000000085	9.18557320000000033	Truchseßweg 17	 74080 Heilbronn	G
24049147	49.12768169999999657	9.18524069999999959	Ulrich-Fischer-Weg 3	 74080 Heilbronn	G
24049148	49.12771169999999898	9.18511920000000082	Ulrich-Fischer-Weg 5	 74080 Heilbronn	G
24049149	49.12805480000000102	9.1852254999999996	Ulrich-Fischer-Weg 7	 74080 Heilbronn	G
24049221	49.12739359999999778	9.18487350000000013	Renzweg 7	 74080 Heilbronn	G
24049222	49.1275582999999969	9.18482410000000016	Renzweg 5	 74080 Heilbronn	G
24049223	49.12770439999999894	9.18477290000000046	Renzweg 3	 74080 Heilbronn	G
24049224	49.12785519999999906	9.18473009999999945	Renzweg 1	 74080 Heilbronn	G
24049251	49.12697949999999736	9.18438349999999915	Jäkleinstraße 39	 74080 Heilbronn	G
24049253	49.12675449999999699	9.1836303000000008	Jäkleinstraße 43	 74080 Heilbronn	G
24049272	49.1267201	9.18434979999999968	Weingartspfädle 18	 74080 Heilbronn	M
24049395	49.12791810000000226	9.18412179999999978	Hofstattstraße 82	 74080 Heilbronn	G
24049396	49.12780120000000039	9.18453700000000062	Renzweg 2	 74080 Heilbronn	G
24049397	49.1276149999999987	9.18457159999999995	Renzweg 4	 74080 Heilbronn	G
24049398	49.12744510000000275	9.18464529999999968	Renzweg 6	 74080 Heilbronn	G
24049399	49.12736670000000316	9.18415090000000056	Jäkleinstraße 38	 74080 Heilbronn	G
24049400	49.12733620000000201	9.18392270000000011	Robert-Stolz-Weg 37	 74080 Heilbronn	G
24049479	49.12664350000000013	9.18307450000000003	Jäkleinstraße 47	 74080 Heilbronn	G
24049480	49.12645189999999928	9.18309580000000025	Weingartspfädle 30	 74080 Heilbronn	M
24049501	49.12741340000000179	9.18337849999999989	Robert-Stolz-Weg 36	 74080 Heilbronn	G
24049503	49.12761009999999828	9.18371579999999987	Robert-Stolz-Weg 32	 74080 Heilbronn	G
24156635	49.13184210000000007	9.18282810000000005	Heuchelbergstraße 86	 74080 Heilbronn	G
24156637	49.13142609999999877	9.18247380000000035	Heuchelbergstraße 90	 74080 Heilbronn	G
24156638	49.13158469999999767	9.18256200000000078	Heuchelbergstraße 88	 74080 Heilbronn	G
24156639	49.13155499999999876	9.18272160000000071	Heuchelbergstraße 82	 74080 Heilbronn	G
24156640	49.13148679999999757	9.18301510000000043	Heuchelbergstraße 84	 74080 Heilbronn	G
24191323	49.13087579999999832	9.18294969999999999	Neipperger Straße 5	 74080 Heilbronn	G
24191326	49.13098099999999846	9.18344699999999925	Neipperger Straße 1	 74080 Heilbronn	G
24191335	49.13093179999999904	9.18320300000000067	Neipperger Straße 3	 74080 Heilbronn	G
24192652	49.13151189999999957	9.18401060000000058	Heuchelbergstraße 60	 74080 Heilbronn	G
24195898	49.13049430000000228	9.18388329999999975	Turnerstraße 2	 74080 Heilbronn	G
24218198	49.12687069999999778	9.18508369999999985	Weingartspfädle 8	 74080 Heilbronn	M
24218199	49.12668419999999969	9.18506409999999995	Weingartspfädle 10	 74080 Heilbronn	M
24218200	49.12637420000000077	9.18472520000000081	Ludwigsburger Straße 220/1	 74080 Heilbronn	M
24218201	49.12694710000000242	9.18523629999999969	Weingartspfädle 6	 74080 Heilbronn	M
24218202	49.12700379999999711	9.1854893999999998	Weingartspfädle 4	 74080 Heilbronn	M
24218203	49.12705669999999714	9.18572419999999923	Weingartspfädle 2	 74080 Heilbronn	M
24218206	49.12665280000000223	9.18580140000000078	Ludwigsburger Straße 210	 74080 Heilbronn	M
24234933	49.11699240000000088	9.1659834999999994	Obere Kanalstraße 7	 74081 Heilbronn	M
24234934	49.11667390000000211	9.16527059999999949	Obere Kanalstraße 15	 74081 Heilbronn	M
24234935	49.11648209999999892	9.16572859999999956	Obere Kanalstraße 19/1	 74081 Heilbronn	M
24234980	49.11659989999999709	9.16589300000000051	Obere Kanalstraße 19/1	 74081 Heilbronn	M
24234981	49.1167463999999967	9.16611639999999994	Obere Kanalstraße 13/1	 74081 Heilbronn	M
24235125	49.11681480000000022	9.16555540000000057	Obere Kanalstraße 13/3	 74081 Heilbronn	M
24235126	49.11704939999999908	9.16616759999999964	Obere Kanalstraße 5	 74081 Heilbronn	M
24235127	49.117114100000002	9.16632279999999966	Obere Kanalstraße 1	 74081 Heilbronn	M
24235128	49.11696440000000052	9.16632019999999947	Obere Kanalstraße 5	 74081 Heilbronn	M
24235129	49.11687150000000202	9.16640620000000084	Schleusenstraße 29/3	 74081 Heilbronn	M
24235131	49.11697879999999827	9.16663549999999994	Schleusenstraße 29	 74081 Heilbronn	M
24235132	49.11712310000000059	9.16671170000000046	Schleusenstraße 31	 74081 Heilbronn	M
24235133	49.11721310000000074	9.16668999999999912	Schleusenstraße 33	 74081 Heilbronn	M
24235194	49.11691480000000354	9.16668980000000033	Schleusenstraße 29/5	 74081 Heilbronn	M
24235196	49.11694229999999806	9.16676430000000053	Schleusenstraße 29/5	 74081 Heilbronn	M
24235197	49.11690850000000097	9.1669394999999998	Schleusenstraße 25	 74081 Heilbronn	M
24235235	49.11674159999999745	9.16667640000000006	Schleusenstraße 23/1	 74081 Heilbronn	M
24235236	49.11663450000000353	9.16654360000000068	Schleusenstraße 23/1	 74081 Heilbronn	M
24235344	49.11653799999999848	9.1667538000000004	Schleusenstraße 21/1	 74081 Heilbronn	M
24235345	49.11657069999999692	9.16659420000000047	Schleusenstraße 23/1	 74081 Heilbronn	M
24235346	49.11673530000000198	9.16696160000000049	Schleusenstraße 23	 74081 Heilbronn	M
24235347	49.11671520000000157	9.16713290000000036	Schleusenstraße 21	 74081 Heilbronn	M
24235349	49.11664540000000301	9.1669590000000003	Schleusenstraße 21	 74081 Heilbronn	M
24235350	49.1166039000000012	9.16699790000000014	Schleusenstraße 21	 74081 Heilbronn	M
24235423	49.11732130000000041	9.16704200000000036	Schleusenstraße 32	 74081 Heilbronn	M
24248979	49.11971849999999762	9.18825610000000026	Horkheimer Straße 32	 74081 Heilbronn	E
24248980	49.11982160000000164	9.18829580000000057	Horkheimer Straße 30	 74081 Heilbronn	E
24265218	49.1181551999999968	9.18980930000000029	Hauptstraße 27	 74081 Heilbronn	M
24265339	49.11793600000000026	9.19027050000000045	Hofwiesenstraße 8	 74081 Heilbronn	M
24265341	49.11823249999999774	9.18864830000000055	Deinenbachstraße 13/3	 74081 Heilbronn	M
24265342	49.11829759999999823	9.18848060000000011	Deinenbachstraße 13	 74081 Heilbronn	M
24265524	49.11807989999999791	9.18909359999999964	Hauptstraße 32	 74081 Heilbronn	M
24265525	49.11847449999999782	9.1891260999999993	Deinenbachstraße 3	 74081 Heilbronn	M
24347776	49.12206960000000322	9.15039460000000027	Siebenmorgenweg 16	 74081 Heilbronn	M
24347777	49.12190679999999787	9.15024930000000047	Siebenmorgenweg 14	 74081 Heilbronn	M
24347778	49.12174269999999865	9.15042700000000053	Siebenmorgenweg 12	 74081 Heilbronn	M
24365785	49.12112679999999898	9.15432200000000051	Rühlingshäuser Straße 25	 74081 Heilbronn	G
24365981	49.12062970000000206	9.15339829999999921	Felsenstraße 66	 74081 Heilbronn	M
24365982	49.12059450000000282	9.15377540000000067	Felsenstraße 64	 74081 Heilbronn	M
24365983	49.12055130000000247	9.15424359999999915	Felsenstraße 58	 74081 Heilbronn	M
24365984	49.12052620000000047	9.15442909999999976	Felsenstraße 56	 74081 Heilbronn	M
24366434	49.12118399999999951	9.15359920000000038	Rühlingshäuser Straße 27	 74081 Heilbronn	G
24366435	49.12100439999999679	9.15363390000000088	Sonnenhalde 13	 74081 Heilbronn	G
24366436	49.12076919999999802	9.1535258000000006	Sonnenhalde 15	 74081 Heilbronn	G
24366437	49.12087079999999872	9.15336660000000002	Sonnenhalde 11	 74081 Heilbronn	G
24366438	49.12082159999999931	9.15267069999999983	Sonnenhalde 7	 74081 Heilbronn	G
24366439	49.12099189999999993	9.15297480000000085	Sonnenhalde 5	 74081 Heilbronn	G
24366537	49.12118370000000311	9.15290040000000005	Rühlingshäuser Straße 33	 74081 Heilbronn	G
24366538	49.12118360000000195	9.15330900000000014	Rühlingshäuser Straße 29	 74081 Heilbronn	G
24366539	49.12101189999999917	9.15330969999999944	Rühlingshäuser Straße 29/1	 74081 Heilbronn	G
24366750	49.12182870000000179	9.15264490000000031	Wittumhalde 51	 74081 Heilbronn	G
24366751	49.12163869999999832	9.15236769999999922	Wittumhalde 47	 74081 Heilbronn	G
24368421	49.12959260000000228	9.1845611999999992	Im Jockele 35/1	 74080 Heilbronn	G
24368422	49.12966790000000117	9.18501969999999979	Im Jockele 31	 74080 Heilbronn	G
24368423	49.12971139999999792	9.18525720000000057	Im Jockele 27	 74080 Heilbronn	G
24368460	49.12927429999999873	9.18491799999999969	Robert-Stolz-Weg 3	 74080 Heilbronn	G
24368515	49.12874200000000258	9.18504779999999954	Konradweg 18	 74080 Heilbronn	G
24368516	49.12891729999999768	9.18500839999999918	Robert-Stolz-Weg 7	 74080 Heilbronn	G
24368517	49.1290963000000005	9.18498879999999929	Robert-Stolz-Weg 5	 74080 Heilbronn	G
24424228	49.11926470000000222	9.16099720000000062	Theodor-Heuss-Straße 115/1	 74081 Heilbronn	E
24424229	49.11920239999999893	9.1606109	Theodor-Heuss-Straße 117	 74081 Heilbronn	E
24424308	49.1186121	9.15970109999999949	Kirchgässle 10	 74081 Heilbronn	E
24424309	49.11862289999999831	9.15949810000000042	Kirchgässle 10	 74081 Heilbronn	E
24424426	49.11917129999999787	9.15935729999999992	Theodor-Heuss-Straße 131	 74081 Heilbronn	E
24436471	49.11880959999999874	9.15795789999999954	Theodor-Heuss-Straße 153	 74081 Heilbronn	E
24436472	49.11853630000000237	9.15827550000000024	Schlossweg 40	 74081 Heilbronn	M
24436473	49.11829480000000103	9.15807249999999939	Schlossweg 38	 74081 Heilbronn	M
24436474	49.11831279999999822	9.15770939999999989	Schlossweg 38	 74081 Heilbronn	M
24436475	49.11839570000000066	9.15758789999999934	Schlossweg 38	 74081 Heilbronn	M
24436476	49.1183710999999974	9.15742889999999932	Schlossweg 38	 74081 Heilbronn	M
24436477	49.11823520000000087	9.15743759999999973	Schlossweg 38	 74081 Heilbronn	M
24436478	49.11868429999999819	9.15734460000000006	Schlossweg 30	 74081 Heilbronn	M
24436479	49.11894900000000064	9.15760219999999947	Schlossweg 30	 74081 Heilbronn	M
25167405	49.12281169999999975	9.20097280000000062	Pilgramstraße 15	 74081 Heilbronn	E
25167969	49.1227439999999973	9.20140330000000084	Pilgramstraße 6	 74081 Heilbronn	E
25167970	49.12259060000000233	9.20130589999999948	Pilgramstraße 6/1	 74081 Heilbronn	E
25167971	49.12277009999999677	9.20168040000000076	Pilgramstraße 8	 74081 Heilbronn	E
25167973	49.12263020000000324	9.20185090000000017	Pilgramstraße 8/1	 74081 Heilbronn	E
25168026	49.12287460000000294	9.20165320000000087	Pilgramstraße 10	 74081 Heilbronn	E
25168678	49.12173899999999804	9.20020309999999952	Rethelstraße 10	 74081 Heilbronn	M
25168742	49.12237309999999724	9.19998170000000037	Menzelstraße 12	 74081 Heilbronn	M
25168743	49.12244460000000146	9.2001615000000001	Menzelstraße 14	 74081 Heilbronn	M
25168745	49.12231299999999834	9.20024229999999932	Menzelstraße 14	 74081 Heilbronn	M
25187368	49.12230350000000101	9.19975099999999912	Menzelstraße 10	 74081 Heilbronn	M
25187369	49.1222619999999992	9.19965110000000053	Menzelstraße 8	 74081 Heilbronn	M
25187370	49.12216269999999696	9.1994126000000005	Menzelstraße 6	 74081 Heilbronn	M
25187371	49.12189899999999909	9.19923290000000016	Menzelstraße 4	 74081 Heilbronn	M
25187372	49.12200579999999661	9.1992610999999993	Menzelstraße 6	 74081 Heilbronn	M
25187374	49.12186270000000121	9.19885389999999958	Arnoldstraße 9	 74081 Heilbronn	M
25187375	49.12185980000000285	9.19894030000000029	Arnoldstraße 9	 74081 Heilbronn	M
25190446	49.12188220000000172	9.19985929999999996	Rethelstraße 7	 74081 Heilbronn	M
25190905	49.12179669999999732	9.19960790000000017	Rethelstraße 5	 74081 Heilbronn	M
25190906	49.12172259999999824	9.19942670000000007	Rethelstraße 3	 74081 Heilbronn	M
25190908	49.12161859999999791	9.19916860000000014	Rethelstraße 1	 74081 Heilbronn	M
25191570	49.12326550000000225	9.20262119999999939	Pilgramstraße 16	 74081 Heilbronn	E
25191572	49.123162200000003	9.20233029999999985	Pilgramstraße 14	 74081 Heilbronn	E
25191573	49.12307710000000327	9.20260919999999949	Pilgramstraße 14	 74081 Heilbronn	E
25191638	49.12307299999999799	9.20210879999999953	Pilgramstraße 12	 74081 Heilbronn	E
25195758	49.1214966000000004	9.20119790000000037	Tischbeinstraße 14	 74081 Heilbronn	M
25195759	49.12143830000000122	9.20098939999999921	Tischbeinstraße 12	 74081 Heilbronn	M
25195760	49.12137210000000209	9.20077700000000043	Tischbeinstraße 10	 74081 Heilbronn	M
25195761	49.12130249999999876	9.20054960000000044	Tischbeinstraße 8	 74081 Heilbronn	M
25195762	49.12122389999999683	9.2002158000000005	Tischbeinstraße 4	 74081 Heilbronn	M
25195770	49.12085330000000027	9.20003550000000025	Raidweg 39	 74081 Heilbronn	M
25195798	49.12096859999999765	9.19958489999999962	Tischbeinstraße 2	 74081 Heilbronn	M
25196335	49.12171380000000198	9.19983640000000058	Rethelstraße 6	 74081 Heilbronn	M
25196336	49.12163749999999851	9.19965159999999926	Rethelstraße 4	 74081 Heilbronn	M
25196337	49.12155750000000154	9.19941969999999998	Rethelstraße 2	 74081 Heilbronn	M
25196536	49.1218395000000001	9.20081680000000013	Rethelstraße 18	 74081 Heilbronn	M
25196537	49.1216425000000001	9.2009243000000005	Tischbeinstraße 15	 74081 Heilbronn	M
25196538	49.12165029999999888	9.20069349999999986	Tischbeinstraße 11	 74081 Heilbronn	M
25196539	49.12150570000000016	9.2007399999999997	Tischbeinstraße 11	 74081 Heilbronn	M
25196665	49.12143090000000001	9.20052489999999956	Tischbeinstraße 7	 74081 Heilbronn	M
25196666	49.12134569999999911	9.20022669999999998	Tischbeinstraße 5	 74081 Heilbronn	M
