Bauwerk-Nr.	Straßenzug	Benennung	Zustandsnote	Baujahr	Brückenfläche m²
435	G	Knüppeldamm 1	2	1996	22
436	G	Knüppeldamm 2	2	1996	16,94
438	G	Pfühlsee , Holzdeck	1,9	1996	268
343	G	Holzst.ü.Köpferb.b.Köpferstausee	1,7	1997	9,45
213	K	Neckargartacher-Brücke ( Süd )	2	1999	2666,23
344	G	Fgbr.HN-Böck.Berufschulzentrum	2,8	2000	84,48
345	G	Fußgängersteg Fleischbeil	2,3	2000	130
238	G	Fußgängerbrücke Christophstr.	2,6	2001	83,34
237	G	Fußg.-steg am WKW Neckarpark	2,3	2001	190,1
452	G	Badener Straße -Steg-	2,8	2002	10,5
236	G	Paul Metz Brücke	2,3	2003	1309
235	G	Brücke über die Hafenbahn	1,9	2003	163
215	B	Neue Otto-Konz-Brücke	2,4	2004	3220
239	G	Karl-Nägele-Brücke	2,5	2005	1802,5
241	G	Adolf-Cluss-Brücke,Floßgasse	1,9	2006	110,5
219	B	Neues Kreuzungsbauwerk Süd	2	2009	514,1
448	G	Fußg. Brücke West-Keidgraben	1,9	2009	49
447	G	Fußg. Brücke Ost-Keidgraben	1,8	2009	16,7
234	G	Hagenbucherbrücke	1,2	2009	109,2
218	B	Neues Kreuzungsbauwerk Nord	1,3	2010	514,1
240	G	Adolf-Cluss-Brücke, Altneckar	1,9	2011	180,2
227	G	Brücke Christophstraße	1,7	2013	145,14
226	G	Brücke Kreuzenstraße	1,3	2013	238
454	G	Fuß - u.Radwegbrücke Leinbachm.	2,2	2014	32,7
225	B	Neue Bleichinselbrücke	1,2	2015	2088
115	G	Br.zum Schloß Kirchhausen	2,3	unbek.	69,9
